FEN, nodes_at_depth_2, nodes_at_depth_4, nodes_at_depth_6, nodes_at_depth_8, nodes_at_depth_10, nodes_at_depth_12, nodes_at_depth_14, nodes_at_depth_16
rk1/pp1/3/PP1/RK1,,,,231712
qkq/ppp/PPP/QKQ,,,,99864
qk1/pp1/3/PP1/QK1,,,,380211
nk1/pp1/3/PP1/NK1,,,,682812
qkq/ppp/3/PPP/QKQ,,,,595630
nkn/ppp/3/PPP/NKN,,,,1041784
rkr/ppp/3/PPP/RKR,,,,136140
bk1/pp1/PP1/BK1,,,,,131606
rkr/ppp/PPP/RKR,,,,,628612
bkb/ppp/PPP/BKB,,,,,339572
rk1/pp1/PP1/RK1,,,,,595988
nkn/ppp/PPP/NKN,,,,,165036
qk1/pp1/PP1/QK1,,,,,570061
nk1/pp1/PP1/NK1,,,,,477917
bk1/pp1/3/PP1/BK1,,,,,2154800
bkb/ppp/3/PPP/BKB,,,,,3626752
rk1/pp1/3/PP1/RK1,,,,,6686620
qkq/ppp/PPP/QKQ,,,,,1754460
qk1/pp1/3/PP1/QK1,,,,,12518207
nk1/pp1/3/PP1/NK1,,,,,15788821
nkn/ppp/3/PPP/NKN,,,,,31142730
rkr/ppp/3/PPP/RKR,,,,,4768748
qkq/ppp/3/PPP/QKQ,,,,,28560334
bk1/pp1/PP1/BK1,,,,,,1692315
bkb/ppp/PPP/BKB,,,,,,4569266
rkr/ppp/PPP/RKR,,,,,,11290518
qk1/pp1/PP1/QK1,,,,,,7630968
nkn/ppp/PPP/NKN,,,,,,1967804
rk1/pp1/PP1/RK1,,,,,,9610702
nk1/pp1/PP1/NK1,,,,,,5940410
bk1/pp1/3/PP1/BK1,,,,,,50003286
